collection_title,chapter_order,chapter_title,subcollection_path,module_order,module_id,module_title,row_type,section_order,section_level,section_id,section_title,source_path
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,6,2,fs-id1731523,Prime Factors Method,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,7,1,fs-id3399573,Key Concepts,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,8,1,fs-id1574419,Section Exercises,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,9,2,fs-id2140986,Practice Makes Perfect,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,10,2,fs-id1372552,Everyday Math,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,11,2,fs-id1606158,Writing Exercises,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,12,2,eip-49,Self Check,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,13,1,fs-id1311762,Chapter Review Exercises,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,14,2,fs-id1410434,Use the Language of Algebra,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,15,2,fs-id1574329,"Evaluate, Simplify, and Translate Expressions",PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,16,2,fs-id2150049,Solve Equations Using the Subtraction and Addition Properties of Equality,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,17,2,fs-id3165764,Find Multiples and Factors,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,18,2,fs-id2485757,Prime Factorization and the Least Common Multiple,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,19,2,fs-id2579132,Everyday Math,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,20,1,fs-id2926227,Chapter Practice Test,PREALG/modules/m81273/index.cnxml
prealgebra-2e,3,Integers,Integers,1,m81274,Introduction to Integers,module,,,,,PREALG/modules/m81274/index.cnxml
prealgebra-2e,3,Integers,Integers,2,m81275,Introduction to Integers,module,,,,,PREALG/modules/m81275/index.cnxml
